,LGA,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0,81.0,82.0,83.0,84.0,85.0,86.0,87.0,88.0,89.0,90.0,91.0,92.0,93.0,94.0,95.0,96.0,97.0,98.0,99.0,100.0,101.0,102.0,103.0,104.0,Over 65 total per LGA
40,Donnybrook-Balingup ,110.0,89.0,74.0,70.0,97.0,79.0,85.0,57.0,71.0,58.0,47.0,40.0,56.0,30.0,30.0,25.0,31.0,18.0,22.0,17.0,18.0,21.0,14.0,7.0,5.0,5.0,6.0,10.0,3.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1215.0
41,Dowerin ,11.0,16.0,11.0,12.0,13.0,11.0,4.0,6.0,11.0,3.0,3.0,5.0,3.0,0.0,3.0,3.0,4.0,3.0,5.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0
42,Dumbleyung ,7.0,8.0,4.0,8.0,13.0,4.0,5.0,0.0,3.0,0.0,9.0,12.0,3.0,9.0,5.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
43,Dundas ,13.0,17.0,6.0,6.0,4.0,5.0,15.0,11.0,7.0,7.0,5.0,9.0,4.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0
44,East Fremantle ,77.0,87.0,75.0,50.0,98.0,60.0,54.0,59.0,49.0,50.0,36.0,33.0,50.0,41.0,40.0,36.0,45.0,30.0,38.0,29.0,27.0,22.0,20.0,12.0,22.0,6.0,12.0,9.0,9.0,5.0,5.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1198.0
45,East Pilbara ,34.0,26.0,28.0,17.0,22.0,20.0,12.0,13.0,9.0,8.0,10.0,4.0,4.0,0.0,5.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0
46,Esperance ,150.0,119.0,173.0,162.0,154.0,118.0,123.0,120.0,127.0,100.0,96.0,100.0,75.0,86.0,84.0,64.0,65.0,49.0,48.0,33.0,49.0,45.0,39.0,19.0,26.0,18.0,14.0,4.0,10.0,6.0,8.0,3.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,2296.0
47,Exmouth ,32.0,32.0,32.0,28.0,33.0,24.0,15.0,14.0,12.0,18.0,11.0,13.0,7.0,4.0,0.0,3.0,3.0,6.0,4.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0
48,Fremantle ,322.0,353.0,334.0,347.0,288.0,260.0,263.0,225.0,176.0,236.0,233.0,178.0,191.0,183.0,162.0,166.0,146.0,130.0,162.0,115.0,112.0,117.0,85.0,98.0,64.0,68.0,54.0,44.0,36.0,25.0,11.0,12.0,11.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,5214.0
49,Gingin ,103.0,97.0,91.0,99.0,102.0,75.0,70.0,66.0,47.0,47.0,51.0,53.0,57.0,47.0,25.0,33.0,21.0,21.0,23.0,20.0,17.0,9.0,8.0,10.0,11.0,4.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1218.0
